[ID]	[KEY/ABSTRACT]	[KEYWORDS]	[DISCOURSE (T/I/B/C)]	[NUM_PARAGRAPHS]	[PARAGRAPH]	[PREVIOUS_PARAGRAPH]
plot-1_0	K	коли утонешь[SEP]чтоб он не ходил на реку купаться[SEP]старуха мать ругала мальчишку[SEP]так и домой не ходи[SEP]— ну смотри	I	2	Старуха мать ругала мальчишку, чтоб он не ходил на реку купаться	NA
plot-1_1	K	коли утонешь[SEP]чтоб он не ходил на реку купаться[SEP]старуха мать ругала мальчишку[SEP]так и домой не ходи[SEP]— ну смотри	C	2	— Ну смотри, коль утонешь, так и домой не ходи	Старуха мать ругала мальчишку, чтоб он не ходил на реку купаться
plot-2_0	K	думы[SEP]принялась еще пуще из угла в угол метаться и все только и говорит[SEP]лиса из угла в угол мечется — пыль по яме столбом[SEP]что земля толстая и насквозь ее не проклюешь »[SEP]журавль как расправит крылья да как закричит[SEP]а журавль все перед собой клюет да говорит[SEP]а журавль совсем смолк и клевать перестал[SEP]тысячью думушек попала на воротник к шубе[SEP]а журавль одну ногу поджал — и ни с места[SEP]видит — попались в яму лиса да журавль[SEP]положил птицу подле ямы — да к лисе	I	5	Выкопал мужик яму в лесу, прикрыл ее хворостом	NA
plot-2_1	K	думы[SEP]принялась еще пуще из угла в угол метаться и все только и говорит[SEP]лиса из угла в угол мечется — пыль по яме столбом[SEP]что земля толстая и насквозь ее не проклюешь »[SEP]журавль как расправит крылья да как закричит[SEP]а журавль все перед собой клюет да говорит[SEP]а журавль совсем смолк и клевать перестал[SEP]тысячью думушек попала на воротник к шубе[SEP]а журавль одну ногу поджал — и ни с места[SEP]видит — попались в яму лиса да журавль[SEP]положил птицу подле ямы — да к лисе	B	5	не попадется ли какого зверя	Выкопал мужик яму в лесу, прикрыл ее хворостом
plot-2_2	K	думы[SEP]принялась еще пуще из угла в угол метаться и все только и говорит[SEP]лиса из угла в угол мечется — пыль по яме столбом[SEP]что земля толстая и насквозь ее не проклюешь »[SEP]журавль как расправит крылья да как закричит[SEP]а журавль все перед собой клюет да говорит[SEP]а журавль совсем смолк и клевать перестал[SEP]тысячью думушек попала на воротник к шубе[SEP]а журавль одну ногу поджал — и ни с места[SEP]видит — попались в яму лиса да журавль[SEP]положил птицу подле ямы — да к лисе	B	5	Бежала лесом лисица	не попадется ли какого зверя
plot-2_3	K	думы[SEP]принялась еще пуще из угла в угол метаться и все только и говорит[SEP]лиса из угла в угол мечется — пыль по яме столбом[SEP]что земля толстая и насквозь ее не проклюешь »[SEP]журавль как расправит крылья да как закричит[SEP]а журавль все перед собой клюет да говорит[SEP]а журавль совсем смолк и клевать перестал[SEP]тысячью думушек попала на воротник к шубе[SEP]а журавль одну ногу поджал — и ни с места[SEP]видит — попались в яму лиса да журавль[SEP]положил птицу подле ямы — да к лисе	B	5	Загляделась по верхам — бух в яму	Бежала лесом лисица
plot-2_4	K	думы[SEP]принялась еще пуще из угла в угол метаться и все только и говорит[SEP]лиса из угла в угол мечется — пыль по яме столбом[SEP]что земля толстая и насквозь ее не проклюешь »[SEP]журавль как расправит крылья да как закричит[SEP]а журавль все перед собой клюет да говорит[SEP]а журавль совсем смолк и клевать перестал[SEP]тысячью думушек попала на воротник к шубе[SEP]а журавль одну ногу поджал — и ни с места[SEP]видит — попались в яму лиса да журавль[SEP]положил птицу подле ямы — да к лисе	C	5	Летел журавль Спустился корму поискать, завязил ноги в хворосте стал выбиваться — бух в яму И лесе горе, и журавлю горе Не знают, что делать, как из ямы выбраться Лиса из угла в угол мечется — пыль по яме столбом а журавль одну ногу поджал — и ни с места, и все перед собой землю клюет Думают оба, как бы беде помочь Лиса побегает, побегает да и скажет — У меня тысяча, тысяча, тысяча думушек Журавль поклюет, поклюет да и скажет — А у меня одна дума И опять примутся — лиса бегать, а журавль клевать «Экой, — думает лиса, — глупый этот журавль Что он все землю клюет Того и не знает, что земля толстая и насквозь ее не проклюешь» А сама все кружит по яме да говорит — У меня тысяча, тысяча, тысяча думушек А журавль все перед собой клюет да говорит — А у меня одна дума Пошел мужик посмотреть, не попалось ли кого в яму Как заслышала лиса, что идут, принялась еще пуще из угла в угол метаться и все только и говорит — У меня тысяча, тысяча, тысяча думушек А журавль совсем смолк и клевать перестал Глядит лиса — свалился он, ножки протянул и не дышит Умер с перепугу, сердечный Приподнял мужик хворост видит — попались в яму лиса да журавль лиса юлит по яме, а журавль лежит не шелохнется — Ах ты, — говорит мужик, — подлая лисица Заела ты у меня этакую птицу Вытащил журавля за ноги из ямы пощупал его - совсем еще теплый журавль еще пуще стал лису бранить А лиса-то бегает по яме, не знает, за какую думушку ей ухватиться тысяча, тысяча, тысяча, думушек — Погоди ж ты — говорит мужик — Я тебе помну бока за журавля Положил птицу подле ямы — да к лисе Только что он отвернулся, журавль как расправит крылья да как закричит — У меня одна дума была Только его и видели А лиса со своей тысячью, тысячью, тысячью думушек попала на воротник к шубе	Загляделась по верхам — бух в яму
plot-3_0	K	мужик и барин[SEP]он увез пять тысяч денег на ваших конях да стеклянную повозку[SEP]— из вашего брата две трети дураков да треть безумников[SEP]— не видал ли мужичка в черном армяке да черном башлыке[SEP]надел кучер на обе руки по хомуту и легошенько пошел[SEP]принесла барыня пять тысяч денег и отдала мужику[SEP]а желтый армяк и такой же башлык взял про запас[SEP]барин понатужился — не может с места сдернуть[SEP]а сам сунул в колеса по толстой палке — стягу[SEP]а барин тарантас потащил — потом обливается[SEP]пришел к барыне и просит пять тысяч денег	I	5	Жил-был мужик да баба, у них было два сына	NA
plot-3_1	K	мужик и барин[SEP]он увез пять тысяч денег на ваших конях да стеклянную повозку[SEP]— из вашего брата две трети дураков да треть безумников[SEP]— не видал ли мужичка в черном армяке да черном башлыке[SEP]надел кучер на обе руки по хомуту и легошенько пошел[SEP]принесла барыня пять тысяч денег и отдала мужику[SEP]а желтый армяк и такой же башлык взял про запас[SEP]барин понатужился — не может с места сдернуть[SEP]а сам сунул в колеса по толстой палке — стягу[SEP]а барин тарантас потащил — потом обливается[SEP]пришел к барыне и просит пять тысяч денег	B	5	Братьям не приходилось вместе дома жить, один брат все ходил по чужой стороне	Жил-был мужик да баба, у них было два сына
plot-3_2	K	мужик и барин[SEP]он увез пять тысяч денег на ваших конях да стеклянную повозку[SEP]— из вашего брата две трети дураков да треть безумников[SEP]— не видал ли мужичка в черном армяке да черном башлыке[SEP]надел кучер на обе руки по хомуту и легошенько пошел[SEP]принесла барыня пять тысяч денег и отдала мужику[SEP]а желтый армяк и такой же башлык взял про запас[SEP]барин понатужился — не может с места сдернуть[SEP]а сам сунул в колеса по толстой палке — стягу[SEP]а барин тарантас потащил — потом обливается[SEP]пришел к барыне и просит пять тысяч денег	B	5	Вот раз собрался он на чужую сторону, надел черный армяк и черный башлык, а желтый армяк и такой же башлык взял про запас	Братьям не приходилось вместе дома жить, один брат все ходил по чужой стороне
plot-3_3	K	мужик и барин[SEP]он увез пять тысяч денег на ваших конях да стеклянную повозку[SEP]— из вашего брата две трети дураков да треть безумников[SEP]— не видал ли мужичка в черном армяке да черном башлыке[SEP]надел кучер на обе руки по хомуту и легошенько пошел[SEP]принесла барыня пять тысяч денег и отдала мужику[SEP]а желтый армяк и такой же башлык взял про запас[SEP]барин понатужился — не может с места сдернуть[SEP]а сам сунул в колеса по толстой палке — стягу[SEP]а барин тарантас потащил — потом обливается[SEP]пришел к барыне и просит пять тысяч денег	B	5	Идет путем-дорожкой, попадается ему навстречу барин, едет на паре	Вот раз собрался он на чужую сторону, надел черный армяк и черный башлык, а желтый армяк и такой же башлык взял про запас
plot-3_4	K	мужик и барин[SEP]он увез пять тысяч денег на ваших конях да стеклянную повозку[SEP]— из вашего брата две трети дураков да треть безумников[SEP]— не видал ли мужичка в черном армяке да черном башлыке[SEP]надел кучер на обе руки по хомуту и легошенько пошел[SEP]принесла барыня пять тысяч денег и отдала мужику[SEP]а желтый армяк и такой же башлык взял про запас[SEP]барин понатужился — не может с места сдернуть[SEP]а сам сунул в колеса по толстой палке — стягу[SEP]а барин тарантас потащил — потом обливается[SEP]пришел к барыне и просит пять тысяч денег	C	5	Приказал барин кучеру остановиться Остановил кучер коней, подозвал барин мужика — А, — говорит, — добрый человек, вижу ты на чужой стороне бывал — Да, точно так, — говорит, — бывал — И много народу видал — Видал порядочно — Скажи, пожалуйста, кто лучше — поп, или судья, или из нашего брата, барин Мужик думал-думал и говорит — Из попов так половина дураков — А потому, что иной поп служит-торопится — чего не пропоет — А из судей — Из судей две трети дураков есть — Почему же — А потому что судьи — кто их подпоит, так они по тому и судят, а кто не подпоит, так на того ровно воду льют — Ну, и это хорошо А из нашего брата, из бар — Из вашего брата две трети дураков да треть безумников Барин говорит — Кучер, погоняй Отъехали недалеко — говорит барин кучеру — Кучер, а кучер, ведь он нас ни во что поставил — Да я давно думаю, что он вас ни во что поставил, да не смею сказать — Ой ты чудак Ты бы давно сказал Давай поворачивай коней, да спросим, почему он нас ни во что поставил Заворотили коней и поехали Завидел мужик барина, скоро снял черный армяк и черный башлык, надел желтый армяк да желтый башлык, подошел к сосне и подпер сосну плечом, а сосна та наклонилась на озимь Подъехал барин и спрашивает — Не видал ли мужичка в черном армяке да черном башлыке — Да, — говорит, — сейчас мимо прошел — Можем мы его догнать — Догнать-то можно, да вот дорог-то много — А не знаешь, которой он дорогой пошел — Как не знать Я бы сразу нашел его — Так сделай милость, приведи его сюда — Мне нельзя уйди-то сосна на озимь упадет — Ну мы с кучером подержим сосну — Давай, могу сходить Пешком-то вот только не догнать — надо лошадь — Кучер, отстегни ему лошадь Барин взялся за сосну, а кучер отстегнул лошадь Мужик сел на лошадь и поскакал Съездил в лесок — и назад скачет — Вот что, — говорит, — я там его догнал, посадил на лошадь, он поехал было да неладно, а как ежели мне сидеть, так он за мной не идет Давайте другую лошадь, мы скоро приедем Велел барин выпрячь и другую лошадь Сел мужик на одну, а другую в поводу рядом погнал Приехал в то село, из которого был барин Пришел к барыне и просит пять тысяч денег — Барыня, — говорит, — давай скорее пять тысяч, барин купил сто десятин лесу А та говорит — Давай записку — Какая записка Видишь, его кони	Идет путем-дорожкой, попадается ему навстречу барин, едет на паре
plot-4_0	K	мена[SEP]угостил хорошенько и подарил ему кусок золота величиной с конскую голову[SEP]а навстречу ему барышник целый табун лошадей гонит[SEP]а навстречу ему коробейник с коробом за спиной[SEP]стал через плетень перелезать и иглу потерял[SEP]стал через плетень перелезать и потерял[SEP]— променяй мне поросенка на любую иглу[SEP]попал на глубокое место и стал тонуть[SEP]и теперь живет старичок со старушкой[SEP]а навстречу овчар гонит овечье стадо[SEP]— променяй мне вола на любого барана	I	5	Купался богатый купец в реке, попал на глубокое место и стал тонуть	NA
plot-4_1	K	мена[SEP]угостил хорошенько и подарил ему кусок золота величиной с конскую голову[SEP]а навстречу ему барышник целый табун лошадей гонит[SEP]а навстречу ему коробейник с коробом за спиной[SEP]стал через плетень перелезать и иглу потерял[SEP]стал через плетень перелезать и потерял[SEP]— променяй мне поросенка на любую иглу[SEP]попал на глубокое место и стал тонуть[SEP]и теперь живет старичок со старушкой[SEP]а навстречу овчар гонит овечье стадо[SEP]— променяй мне вола на любого барана	B	5	Шел мимо старик, мужичок-серячок, услыхал крик, кинулся и купца из воды вытащил	Купался богатый купец в реке, попал на глубокое место и стал тонуть
