context|refs|hyps
Баба  Тараканиха  Лопай  Опустил Змей  Выведи  Змея  Змею  Коли  Змей Таракана  Молчи  место славный богатырь таракан  сильномогучий богатырь таракан  таракан жалобно назад проситься  пусть богаты|Жил-был мужик по прозванью Таракан: такие у него усы тараканьи были, длинные-предлинные да тонкие. А сила в нем была великая: если мимо воробей пролетит - он с ног валится. Тоже и храбрости был Таракан несказанной: ночью из избы никогда не выходил один, а чтоб его жена провожала. Надоело это Таракановой жене. И била она своего Таракана без милосердия и срамила всячески: ничего с таким ледащим не поделаешь. Пользы от него по хозяйству и на медный грош нет, а об нем хлопочи: ночью вставай, на улицу его провожай. Раз была ночь темная-претемная - зги не видать - да ветреная, холодная. И в самый сладкий сон вдруг будит Таракан жену:  Выведи, - говорит, - меня наружу, хочу на ветерке прохладиться; а то в избе очень жарко . Встала жена, оделась-обулась; со сна-то такая злость ее разбирает, что так бы вот и пришибла привередника: стой из-за него на крыльце. А он по двору прохаживает, на небо поглядывает да лясы точит:  Эка ночь-то! Эка тьма-то кромешная! Вот бы теперь на большой дороге под мостом сидеть Да у проезжих купцов кошели обирать!   Иди уж в избу скорей, храбрый богатырь, - говорит жена, - ложись-ка на печь да хоть блох обирай!  Как закричит на нее Таракан:  Что за бунт? Молчи, баба, не смей мне перечить! Возьму сейчас и пойду свою удаль показывать, а не то, вот назло тебе, буду до утра по двору ходить, чтоб ты на крыльце стояла да мерзла!  Так это бабу взорвало, что ухватила она Таракана за шиворот, вволокла в избу, накинула на него рваный зипунишко, сунула ему в руку ржавый ломаный косарь и вытолкала в шею:  Ступай же, - кричит, - покажи: какой ты храбрый богатырь, а без того я тебя и через порог не пущу!  Стал было Таракан жалобно назад проситься - только того и добился, что баба из избы выскочила, вывела его за шиворот из деревни в поле да там одного середь темной ночи и бросила. Вечером выбрался Таракан|3246769	konstantinus-a	2019-01-31 16:00:00	Мои твиты   Чт, 12:41: RT @SvobodaRadio: В Москве задержали подозреваемого в избиении полицейского https://t.co/YWfZdPq5w     33480770	marija-vera	2017-12-04 20:02:00                                                                &nbsp;&nbsp; &nbsp;В этом году исполняется 100 лет со дня рождения выдающегося русского писателя и общественного деятеля Михаила Афанасьевича Салтыкова-Щедрина. Он был одним из самых известных русских писателей-сатириков XIX века. Его произведения были переведены на многие языки мира.&nbsp;Михаил Афанасьевич Салтыков-Щербинин родился в 1837 году в семье священника. Учился в Петербургской духовной семинарии, а затем в Московском училище живописи, ваяния и зодчества. После окончания училища Михаил Афанасьевич поступил в Академию художеств, где проучился три года. Затем он продолжил обучение в Академии художеств у И.Е. Репина, А.С. Пушкина, М.Ю. Лермонтова, Н.А. Некрасова, П.И. Чайковского, Л.Н. Толстого, Ф.М. Достоевского, К.Э. Циолковского, Г.Г. Распутина, В.П. Короленко, С.Я. Маршака, Д.Д. Шостаковича, Б.Б. Пастернака, Р.Ахмадулиной, Т.Шекспира, Э.Хемингуэя, Дж.Р. Толкиена, О.Генри и многих других авторов.После окончания Академии писатель получил степень доктора исторических наук по специальности &laquo;История России с древнейших времен до наших дней&raquo;, а также звание профессора Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации (РАНХиГС) по специальностям &quot;Государственное и муниципальное управление&quot;, &quot;&#39;Экономика и управление народным хозяйством&quot; и &#39;Финансы и кредит&quot;.Участник ряда научных конференций и симпозиумов, посвященных проблемам развития науки и образования в России. Автор более 200 научных работ, в том числе монографий, учебников, учебных пособий, учебно-методических
Жучку  Бабка  пошел дед репку рвать  посадил дед репку  позвала жучка кошку  позвала внучка жучку  позвала бабка внучку  позвала кошка мышку  позвал дед бабку  вытянули репку  выросла репка сладка|Посадил дед репку и говорит: - Расти, расти, репка, сладка! Расти, расти, репка, крепка! Выросла репка сладка, крепка, большая-пребольшая. Пошел дед репку рвать: тянет-потянет, вытянуть не может. Позвал дед бабку. Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала бабка внучку. Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала внучка Жучку. Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала Жучка кошку. Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала кошка мышку. Мышка за кошку, Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут - и вытянули репку.|"скорблите вы репку сластёны   2169486	sergey-verevkin	2019-12-23 16:00:00	Мои твиты   Чт, 12:41: RT @SvobodaRadio: В Москве задержали подозреваемого в убийстве политика Бориса Немцова https://t.co/YkZrMzHQFw https://…   Пт, 08:01: RT Fedorov_Andrej_Vasiliev: ""В России не осталось ни одного человека, который мог бы сказать правду о том, что происходит в стране"" (с) 👍😂 #Россия #выборы #путин…   Сб, 09:02: RT MIGnews.com: Путин и Эрдоган договорились об урегулировании конфликта в Сирии с помощью военной силы США | МИГ http://t.. htt…   Вс, 07:03: RT Wikileaks: «Исламское государство» — террористическая группировка, деятельность которой запрещена в ряде стран, в том числе в России. По данным ООН, п… https:/…      Вс, 10:04: RT Ср, 06:05: RT SERGO.TV: Нападающий сборной России по хоккею Александр Овечкин прокомментировал победу над командой Финляндии в матче регулярного чемпионата КХЛ. «Я очень рад за наших хоккеистов. Они показали хороший хоккей… https://bit.ly/iWKpXhg   Вс., 10:06: RT Saturday, 22 Dec 2019 11:07: RT Tuesday, 21 Dec 2019 13:08: RT Thursday, 20 Dec 2019 14:09: RT Hurricane Katrina in the Caribbean Sea is a tropical cyclone that struck the island of Cape Verde on 23 December. It was reported that it was a t…      22169497	mak-50	2020-01-24 19:30:00                                                             &nbsp;&nbsp;   &nbsp; &nbsp;Смотреть на Яндекс.Фотках  Оригинал записи и комментарии на LiveInternet.ru  Читайте оригинальный пост в блоге Однажды в Рыбинске. Please leave any comments there.  Добавляйтесь в друзья и подписывайтесь на обновления блога!  Понравился"
щукой  Лев  пошел лев человека искать  щука увидала человека  найдешь человека нигде  шел лев  спрашивает лев  реке лев  говорит лев  нашел человека  лев отошел  батюшка лев  человека увидела  видел человека  лев  разинь пасть пошире|Раз на реке лев со щукой разговаривал, а человек стоял поодаль и слушал. Только щука увидала человека, сейчас же ушла в воду. Лев ее после спрашивает: - Чего ты ушла в воду? - Человека увидела. - Ну так что же? - Да он хитрый. - Что за человек? - спрашивает лев. - Подай мне его, я его съем. Пошел лев человека искать. Идет навстречу мальчик. - Ты человек? - Нет, я еще не человек. Я мальчик. Еще когда буду человеком-то! Лев его не тронул, прошел мимо. Идет навстречу старик. - Ты человек? - Нет, батюшка лев! Какой я теперь человек! Был когда-то человеком. И этого лев не тронул. - Что за диковина! Не найдешь человека нигде! Шел, шел лев, встретил солдата с ружьем и с саблей. - Ты человек? - Человек. - Ну, я тебя съем! - А ты погоди, - говорит ему солдат. - Отойди от меня, я сам тебе в пасть кинусь. Разинь пасть пошире! Лев отошел, разинул пасть. Солдат наметился да как бабахнет из ружья! Потом подбежал да саблей ухо у льва отсек. Лев - бежать. Прибегает к реке. Выплывает щука, спрашивает: - Ну что, видел человека? - Да что, - говорит лев, - хитёр человек! Сразу-то я его не нашел: то говорит, что был человеком, то говорит, что еще будет человеком, а как нашел человека - так я и не обрадовался. Он мне велел отойти да раскрыть пасть, потом как плюнет мне в пасть, и сейчас еще жжет, а потом как высунет язык, да ухо мне и слизнул! - То-то же, я тебе говорила, что хитёр человек.|"3256761	sergey-verevkin	2018-01-20 16:00:00	Мои твиты   Пн, 12:48: RT @SvobodaRadio: В Москве задержали подозреваемого в убийстве политика Бориса Немцова https://t.co/wPJmqrZnFQ   Вт, 08:02: RT Fedorov_Andrej: ""В России нет ни одной страны, которая не была бы готова к войне с Россией"", - заявил премьер-министр РФ Дмитрий Медведев на встрече с…   Ср, 07:03: RT MIGnews.com: Россия и США договорились о прекращении огня в Сирии до тех пор, пока не будет достигнуто соглашение об урегулировании палестино-израильского конфликта. Об этом говорится в п…   Чт, 09:04: RT Wednesday, 19 января 2018 г. /ИТАР-ТАСС/. Премьер-министр России Дмитрий Медведев встретился с президентом США Бараком Обамой. Встреча прошла в формате «круглого стола», где обсуждались…     33855972	karber861	2019-12-21 20:06:00                                                      Фото из открытых источников                     \t\t&nbsp;  \t \t    Оригинал записи и комментарии на LiveInternet.ru  23 декабря 2019 г. Мурманск. Антон Благин  https://www.facebook.com/permalink.php?story_fbid=102185147264170&amp;id=1000019602738...  Читать полностью: https://youtu.be/MWdIYzNKgUEo  Оригинал статьи находится  на  сайте ИнфоГлаз.рф    Ссылка на статью, с которой сделана эта копия   -   http://infoglaz.ru/?p=396856  Рекомендуем также подписаться на мои странички в:  Фэйсбук  ВКонтактик  Основной Твиттер  Строки и параграфы переносятся автоматически.  Уголок редактора, который разделяет блогера и группу ВК, можно использовать для создания собственных блогов или групп в фейсбуке, инстаграм, вконтакте, одноклассниках, твиттер,"
Баба  Старуха  топора солдат кашицу сварит  солдат сварил кашицу  б малую толику круп подсыпать  похлебали вдвоем кашицу  тотчас припрятал топор  станем кашицу  солдат взял  пришел солдат  отвечал солдат  вари кашицу|Пришел солдат с походу на квартиру и говорит хозяйке: - Здравствуй, божья старушка! Дай-ка мне чего-нибудь поесть. А старуха в ответ: - Вот там на гвоздике повесь! - Аль ты совсем глуха, что не чуешь? - Где хошь, там и заночуешь! - Ах ты старая ведьма! Я те глухоту-то вылечу! - И полез было с кулаками. - Подавай на стол! - Да нечего, родимый! - Вари кашицу! - Да не из чего, родимый! - Давай топор, я из топора сварю!  Что за диво! - думает баба. - Дай посмотрю, как из топора солдат кашицу сварит!  Принесла ему топор; солдат взял, положил его в горшок, налил воды и давай варить. Варил-варил, попробовал и говорит: - Всем бы кашица взяла, только б малую толику круп подсыпать! Баба принесла ему круп. Опять варил-варил, попробовал и говорит: - Совсем бы готово, только б маслом сдобрить! Баба принесла ему масла. Солдат сварил кашицу: - Ну, старуха, теперь подавай хлеба да соли да принимайся за ложку: станем кашицу есть! Похлебали вдвоем кашицу. Старуха спрашивает: - Служивый! Когда ж топор будем есть? - Да, вишь, он не уварился, - отвечал солдат, - где-нибудь на дороге доварю да позавтракаю! Тотчас припрятал топор в ранец, распростился с хозяйкою и пошел в иную деревню. Вот так-то солдат и кашицы поел и топор унес!|3256769	sergey-verevkin	2018-01-20 16:00:00	Мои твиты   Чт, 12:37: RT @VRSoloviev: https://t.co/YkZlXzPQFw     2256770	makowkina-nata	2019-12-19 20:30:00                                                      Фоторепортаж с выставки «Память о Великой Отечественной войне 1941-1945 гг.», посвященной 70-летию Победы в Великой Отечественной Войне (г. Москва)                     \t&nbsp;  Оригинал записи и комментарии на LiveInternet.ru  1170771	begamot-74	2017-04-08 00:05:00озабочен по поводу того, что у меня нет денег на поездку в Крым, но я не могу себе этого позволить, так как живу в другом городе, а деньги нужны мне для поездки в Крым.  В связи с тем, что моя поездка в Крым откладывается на неопределенный срок, я решил съездить в Крым на несколько дней. В этот раз я планировал поехать в Ялту, но из-за проблем с финансами пришлось отложить поездку на неопределенное время. Но это не значит, что я не хочу туда ехать. Я планирую поехать в Симферополь, чтобы отдохнуть от городской суеты и посмотреть на город со стороны. Я очень надеюсь, что мои планы будут реализованы и я смогу приехать в Крым уже в этом году. Надеюсь, что мой отпуск будет таким же насыщенным и интересным, как и все предыдущие. Надеюсь, что мое путешествие в Крым будет проходить интересно и увлекательно. Спасибо всем, кто принимал участие в подготовке к поездке!  UPD: Друзья, спасибо вам за то, что откликнулись на мою просьбу помочь с оформлением визы в Крым! Оригинал статьи находится  на  сайте ИнфоГлаз.рф    Ссылка на статью, с которой сделана эта копия   -   http://infoglaz.ru/?q=node/5188  Рекомендуем также ознакомиться:  https://www.facebook.com/permalink.php?story_fbid=10000167504143686&amp;id=10000048583538 http://
Раю  Барин  Михаилуархангелу  Михаилаархангела  пятаков  солдат махнул своей волшебной сумочкой  взял солдат котомку  солдат развязал мешок  отслужил солдат службу королю  говорит солдат  пришел солдат домой  солдат взял  пошел солдат назад|Прошло срочное время, отслужил солдат службу королю и стал проситься на родину с родными повидаться. Сначала было король не пускал его, но потом согласился, наделил его златом-серебром и отпустил его на все четыре стороны. Вот получил солдат отставку и пошел с товарищами прощаться, а товарищи и говорят ему: - Неужели на простинах не поднесешь, а прежде ведь мы хорошо жили? Вот солдат и начал подносить своим товарищам; подносил-подносил - глядь, а денег-то осталось у него только пять пятаков. Вот идет наш солдат. Близко ли, далеко ли, видит: стоит в сторонке кабачок; зашел солдат в кабачок, на копейку выпил, на грош закусил и пошел далее. Прошел немного, встретилась ему старуха и стала милостыню просить; солдат и подал ей пятак. Прошел опять немного, смотрит, а та же старуха опять идет навстречу и просит милостыню; солдат подал другой пятак, а сам дивуется: как это старуха опять очутилась впереди? Смотрит, а старуха опять впереди и просит милостыню; солдат и третий пятак подал. Прошел опять с версту. Смотрит, а старуха опять впереди и просит милостыню. Разозлился солдат, не стерпело ретивое, выдернул тесак да и хотел было раскроить ей голову, и только лишь замахнулся, старуха бросила к его ногам котомку и скрылась. Взял солдат котомку, посмотрел-посмотрел да и говорит: - Куда мне с этой дрянью? У меня и своей довольно! И хотел было уж бросить - вдруг, откуда ни возьмись, явились перед ним, как из земли, два молодца и говорят ему: - Что вам угодно? Солдат удивился и ничего не мог им сказать, а потом закричал: - Что вам от меня надобно? Один из них подошел поближе к служивому и говорит: - Мы служители твои покорные, но слушаемся не тебя, а вот этой волшебной сумочки, и если тебе что нужно, приказывай. Солдат думал, что все это ему грезится, протер глаза, решился попробовать да и говорит: - Если ты говоришь правшу, то я приказываю тебе, чтобы сейчас же была койка, стол, закуска и трубка с табаком! Не успел солдат еще и кончить, а уж все и явилось, как будто с|встал солдат на коленипоклонился солдату и сказал: &laquo;Я люблю тебя, солдат!&raquo;&nbsp;   3246999	konstantinus-a	2012-12-29 16:01:00	Мои твиты   Пн, 12:41: RT @svoboda_org: В Москве задержан подозреваемый в убийстве оппозиционного политика Бориса Немцова http://t.co/Yz1QxUcB     30470000	kstk71	2019-11-08 00:02:00                                                      Фоторепортаж с места убийства Бориса Немцова https://www.facebook.com/permalink.php?story_fbid=10217858526718&amp;id=10000190271428... Posted by Сергей Кононенко on&nbsp;7 ноя 2019, 17:02  URL записи  https://youtu.be/rWJqNZlKgE  Ранее сообщалось, что Борис Немцов был застрелен из охотничьего ружья выстрелом в голову. По данным следствия, выстрелы были произведены из охотничьей двустволки калибра 7,62 миллиметра. На месте происшествия работает следственно-оперативная группа.  В настоящее время устанавливаются все обстоятельства совершенного преступления. Расследование уголовного дела продолжается. Следственным отделом по городу Москве следственного управления Следственного комитета Российской Федерации по г. Москве возбуждено уголовное дело по признакам преступления, предусмотренного п. «а» ч. 2 ст. 105 УК РФ (убийство двух и более лиц).  Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направлено прокурору для принятия процессуального решения. Ведется доследственная проверка. Источник: https://regnum.ru/news/polit/2338491.html  P.S. Кстати, если кто-то не знает, то у меня есть версия, что убийство Немцова было спланировано специально для того, чтобы отвлечь внимание общественности от его участия в выборах мэра Москвы. И вот почему. Дело в том, что я считаю, что это была спланированная акция, направленная на дискредитацию кандидата в мэры Москвы Сергея Собянина. Я уверен, что эта акция имела целью дискредитировать кандидата в президенты России Владимира Путина, который является одним из самых ярких
царевич  Иванцаревич  Рассказал Иванцаревич  Вихорь  Димитрийцаревич  царевича  Василийцаревич  Иванацаревича  царевичу  Собрался Иванцаревич  говорит братьям иван  царица  пар башмаков  вы|Жил-был царь. Дал ему Бог трех сыновей. Старший - Димитрий-царевич, второй - Василий-царевич, а самый младший - Иван-царевич. Раз вышли царь с царицей в сад погулять. Нежданно-негаданно поднялся вихрь и унес царицу у мужа на глазах. Горе его обуяло. Как беде помочь? Вернулся царь во дворец, созвал сыновей и говорит им: - Дети мои милые! Послал нам Господь беду. Гулял я сейчас с царицей по саду; вдруг, откуда ни возьмись, вихрь поднялся, подхватил ее и унес неведомо куда. Нет у меня больше жены, а у вас матери. Надо вам собраться в путь-дорогу: может, еще и вызволим ее. Живо собрались старшие сыновья, взяли с собой слуг и поехали. Ждут их дома месяц, ждут и два. Ни слуху, ни духу: без вести оба царевича пропали. Еще пуще затосковал царь:  Не видать мне больше ни жены, ни детей! Видно, нет уж их на белом свете, что не шлют отцу весточки!  Вот приходит к царю самый младший сын, Иван-царевич, и говорит: - Пришел я, батюшка, проститься с тобой. Поеду в дальний путь: искать матушку с братьями. Испугался царь. Один сын остался, и тот его покинуть хочет. - Нет, - говорит, - Иван-царевич, не отпущу я тебя. Ты у меня младший сын. Твоя мать и братья старшие без вести пропали, и ты не вернешься. Нет, останься хоть ты мне на утешение! Не послушал отца Иван-царевич, взял с собой только четверых слуг и поехал мать с братьями отыскивать. Ехал, ехал Иван-царевич и приехал на поле; посреди поля шатер стоит, а в шатре братья сидят. Подъехал к ним Иван-царевич и говорит: - Что ж это вы, братцы мои родные! Разве так надо матушку искать? Стыдно стало старшим царевичам: тут же слугу отправили царя утешить, сказать, что Иван-царевич братьев нашел, и поехали все вместе мать искать. Долго ли, коротко ли ехали братья через чужие земли и приехали к высокой горе, а гора-то вся из золота - как жар горит. Говорит братьям Иван-царевич: - Ну, вы, братцы, здесь оставайтесь, а|квартирныеплатежи   3249666	sergey-verevkin	2018-01-20 16:00:00	Мои твиты   Чт, 12:37: RT @SERG__ROTENBERG: https://t.co/YkKWMZlqv8   ЧТ, 13:09: В Госдуме предложили ввести уголовную ответственность за пропаганду гомосексуализма в СМИ https://…     22496770	seregalab	2014-12-08 20:06:00ну вот и я о том же... http://www.facebook.com/permalink.php?story_fbid=10723418529118&amp;id=10000162705038  Оригинал взят у  в post  http://novayagazeta.ru/data/2014/12/08/133390.html  Порошенко заявил, что Россия не будет вводить санкции против России из-за ситуации на Украине. Об этом он заявил в интервью телеканалу &laquo;112 Украина&raquo;. По словам Порошенко, Россия не собирается вводить какие-либо ограничительные меры против Украины.  &quot;Я считаю, что мы не будем вводить никаких ограничений по отношению к России. Мы не собираемся вводить каких-либо санкций против России&quot;, &mdash; сказал Порошенко. Он также добавил, что Москва не будет предпринимать никаких мер для того, чтобы остановить эскалацию конфликта на востоке Украины. Ранее глава МИД РФ Сергей Лавров назвал ситуацию на Украине &quot;очень сложной&quot;.  Ранее сообщалось, что президент Украины Петр Порошенко подписал указ о введении антироссийских санкций в отношении России. Согласно указу, с 1 января 2014 года вводится запрет на въезд в Россию иностранных граждан и лиц без гражданства, а также лиц, которые могут быть замечены в связях с российскими спецслужбами. Кроме того, были введены ограничения на ввоз товаров, запрещенных к ввозу на территорию Украины, в том числе продуктов питания, медикаментов, предметов первой необходимости, одежды, обуви, ювелирных изделий, парфюмерии, бытовой химии, средств личной гигиены, оружия, боеприпасов, взрывчатых веществ и других товаров, необходимых для ведения боевых действий на территории Украины. Источник: Лента.ру  Также напомним, что ранее премьер-министр Украины
Петр Великий  Коли  какие такие загадки царь загадал  солдат берется загадки отгадать  де царь сосчитать звезды  крепко велика земная глубина  земная глубина крепко велика  спрашивает царь  велел царь  мои загадки отгадал  царь усмехнулся  царь похвалил  царь посме|Жили в одном монастыре триста монахов да игумен. Монастырь был богатый, доходов много. И живут монахи припеваючи. Пьют, едят сладко, спят долго, а работы нет никакой. Прослышал про беззаботное монастырское житье царь Петр Великий и задумался:  Как так? Весь наш народ и сам я все в трудах да в заботах, отдохнуть некогда. Ни днем, ни ночью покоя нет, а тут триста человек живут, как сыр в масле катаются. Пьют, едят сладко, спят долго. Ни заботы, ни работы не знают. Совсем ожирели на легких хлебах . И послал царь в тот монастырь гонца: - Поезжай, скажи игумну: приказал-де царь сосчитать звезды на небе и узнать, глубока ли земля, да пусть тот игумен узнает, о чем я думаю, что у меня, у царя, на уме. Сроку дай три дня. На четвертый день пусть сам игумен с ответом ко мне придет. Коли не исполнит приказания, всех монахов и самого игумна велю на работу отправить, а монастырь закрыть. Получил игумен беззаботного монастыря царский приказ и затужил, запечалился: - Ох, беда пришла неминучая! И рассказал монахам все как есть. Монахи головы повесили. Думали, думали, ничего придумать не могли. А в ту пору зашел в монастырь отставной солдат и спрашивает: - Чего, старцы, горюете? Жили всегда без нужды, без печали, а теперь головы повесили. Монахи ему отвечают: - Ох, солдат, не знаешь нашего горя великого! Велел царь три загадки отгадать и через три дня игумну с ответом во дворец прийти. - Какие такие загадки царь загадал? - спрашивает солдат. - Надо сосчитать, сколько есть звезд не небе, узнать, глубока ли земля, и сказать, что у царя на уме, о чем он думает. Выслушал солдат и говорит: - Знал бы я, как царю ответ держать, как был бы на вашем месте. Монахи побежали к игумну: - Вот солдат берется загадки отгадать и царю ответ дать. Просит игумен солдата: - Бери, служивый, чего хочешь, только пособи нашему горю, научи, как царю отвечать! А солдат и говорит: - Ничего мне не надо. Давай твою одежу, я вместо|"царский смех царя смеха царя смеха царского смеха царя   2169771	vitalidrobishev	2018-01-20 16:00:00	Мои твиты   Пн, 12:32: RT @Vityzeva: В Госдуме предложили ввести уголовную ответственность за пропаганду гомосексуализма https://t.co/6fQUyDKRxw https://…   Вт, 08:02: RT /@Sergey_Pozdravkin: А вы знаете, что у нас в стране нет ни одного человека, который не знал бы о том, что такое ""гей-пропаганда"" и почему она так популярна?…   Ср, 09:04: #ПенсионерыРоссии #ВсероссийскийФондСоциальнойДемократии #ДепартаментСоцполитикиРФ #СвердловскаяОбласть #Подмосковье #Екатеринбург #Новосибирск #Ульяновск…   Чт, 00:05: RT 👍🏻❤️💥💫💪💬💰💯💨💩💭💳💦💧💲💶💷💺💡💗💙💠💕💖💛💓💎💚💔💞💐💢💟💣💾💼💽💿💄💅💁💋💀💱💊💌💈💉💇💆💃💜💹💴💮💂💘💵💸💝💑💻💂�💍💤💗�💒✨😍😍 ♀🙀‍♀&lt;br /&gt;&lt;!--  /* Font Definitions */  @font-face \t{function (d, w, c) {     (w[c] = w[c].parentNode.insertBefore"
Ваську да Ваньку  те деньги куплю свинушку  детки станут пашню пахать  громко крикнул мужик  бедный мужик шел  денежки дом заведу  амбар мяса накоплю  мясо продам  кустом зайца  шибко людей  чистому полю  четыре ал|Бедный мужик шел по чистому полю, увидал под кустом зайца, обрадовался и говорит: - Вот когда заживу домком-то! Возьму этого зайца, убью плетью да продам за четыре алтына. На те деньги куплю свинушку. Она принесет мне двенадцать поросеночков. Поросятки вырастут, принесут еще по двенадцати. Я всех приколю, амбар мяса накоплю. Мясо продам, а на денежки дом заведу да сам женюсь. Жена-то родит мне двух сыновей: Ваську да Ваньку. Детки станут пашню пахать, а я буду под окном сидеть да порядки наводить:  Эй вы, ребятки, - крикну, - Васька да Ванька! Шибко людей на работе не подгоняйте, видно, сами бедно не живали!  Да так-то громко крикнул мужик, что заяц испугался и убежал, а дом со всем богатством, с женой и с детьми пропал.|"3256769	konstantinus-a	2018-01-21 16:00:00	Мои твиты   Чт, 12:37: RT @VRSoloviev: https://t.co/YfKWMz1QZn   ЧТ, 13:08: RT Fedor_LevSharansky: ""В России нет ни одного человека, который бы не знал о том, что происходит в Сирии. Это…     2256770	makowkina-nata	2019-12-20 20:05:00                                                       Пн, 10:02: RT Среда, 19 декабря 2019 г. /ИТАР-ТАСС/. Президент РФ Владимир Путин подписал указ о награждении орденом «За заслуги перед Отечеством» III степени генерал-майора внутренней службы Владимира…   Вт, 11:07: RT MIGnews.com: Глава МИД РФ Сергей Лавров заявил, что Россия готова к диалогу с Турцией по вопросу урегулирования ситуации на Украине. Об этом он сказал в интервью телеканалу «Россия 24». По словам Лаврова, Турция…   Вс, 09:06: RT Pravda.Ru: В Госдуме предлагают ввести уголовную ответственность за пропаганду гомосексуализма и лесбиянства. Соответствующий законопроект уже внесен в Госдуму. Как сообщает пресс-служба нижней палаты парламента, п…   Сб, 08:04: RT Sobesednik.ru: На заседании Совета Безопасности ООН глава МИД России Сергей Лавров выступил с заявлением, в котором выразил обеспокоенность тем, что сирийский конфликт может стать одним из самых напряженных в мире. Он отметил, что это…   VRSOLOVE.NET - информационно-аналитический портал о политике, экономике, образовании, науке, культуре, блогосфере. Мы публикуем новости политики, экономики, образования, науки, культуры, а также делаем обзоры событий в мире, политики, шоу-бизнеса, криминала, экологии, домоводству, строительству, дизайну, благоустройству, отдыху, туризм, спорту, туризму, продаже, аренде, хостингу, ресторанам, домам престарелых, тюрьмам, детским садам, больницам, школам, медицинским учреждениям, библиотекам, музеям, театрам, концертным залам, спортивным сооружениям, развлекательным центрам, станциям юных техников"
