context|refs|hyps
Баба  Тараканиха  Лопай  Опустил Змей  Выведи  Змея  Змею  Коли  Змей Таракана  Молчи  место славный богатырь таракан  сильномогучий богатырь таракан  таракан жалобно назад проситься  пусть богаты|Жил-был мужик по прозванью Таракан: такие у него усы тараканьи были, длинные-предлинные да тонкие. А сила в нем была великая: если мимо воробей пролетит - он с ног валится. Тоже и храбрости был Таракан несказанной: ночью из избы никогда не выходил один, а чтоб его жена провожала. Надоело это Таракановой жене. И била она своего Таракана без милосердия и срамила всячески: ничего с таким ледащим не поделаешь. Пользы от него по хозяйству и на медный грош нет, а об нем хлопочи: ночью вставай, на улицу его провожай. Раз была ночь темная-претемная - зги не видать - да ветреная, холодная. И в самый сладкий сон вдруг будит Таракан жену:  Выведи, - говорит, - меня наружу, хочу на ветерке прохладиться; а то в избе очень жарко . Встала жена, оделась-обулась; со сна-то такая злость ее разбирает, что так бы вот и пришибла привередника: стой из-за него на крыльце. А он по двору прохаживает, на небо поглядывает да лясы точит:  Эка ночь-то! Эка тьма-то кромешная! Вот бы теперь на большой дороге под мостом сидеть Да у проезжих купцов кошели обирать!   Иди уж в избу скорей, храбрый богатырь, - говорит жена, - ложись-ка на печь да хоть блох обирай!  Как закричит на нее Таракан:  Что за бунт? Молчи, баба, не смей мне перечить! Возьму сейчас и пойду свою удаль показывать, а не то, вот назло тебе, буду до утра по двору ходить, чтоб ты на крыльце стояла да мерзла!  Так это бабу взорвало, что ухватила она Таракана за шиворот, вволокла в избу, накинула на него рваный зипунишко, сунула ему в руку ржавый ломаный косарь и вытолкала в шею:  Ступай же, - кричит, - покажи: какой ты храбрый богатырь, а без того я тебя и через порог не пущу!  Стал было Таракан жалобно назад проситься - только того и добился, что баба из избы выскочила, вывела его за шиворот из деревни в поле да там одного середь темной ночи и бросила. Вечером выбрался Таракан|Жили-были старик со старухой. У старика была жена, у старухи - три сына. Старик и старуха жили дружно, добра наживать не умели. Однажды приходит к ним змей Таракана. - Здравствуй, добрый молодец! Как поживаешь? - Слава богу, слава богу! - отвечает старик. - А ты где пропадал? А змей говорит: - Да вот, дедушка, в лес за грибами ходил, грибов ловил. Старик и старуха спрашивают:  Где же ты пропадал-то?  - В лесу, дедушка! - отвечал змей. - Я грибы ловил, ягоды собирал. Старуха спрашивает:  Куда ты пропал?  И отвечает:  Не знаю, бабушка!  Стали они жить-поживать да поживать да добра наживать. Приходит к ним змея Таракана с гостинцами. Принесла им жареную курицу, пироги с разными начинками. Долго ли, коротко ли - пришли к ним два богатыря. Стали они друг дружку спрашивать:  Чего тебе надобно?  Отвечают:  Мы тебя научим, как быть добрым молодцем. Стал один из них просить:  Поди-ка ко мне в гости; я тебя научу, как делать добро. Богатыри говорят:  Ну, ступай к нам в гости, а то мы тебя съедим. Поехали они в лес, сели на полянку и стали ждать. Сидели, сидели, ничего не видывали. Вдруг прилетела птичка, села на крылечко и стала кричать:  Эй вы, добрые молодцы! Выведите меня отсюда!  - и улетела. Вот прилетела другая птичка и кричит:  Стойте здесь, пока я вас не съем!  Вот прилетела третья птичка - и опять прилетела. Опять прилетела четвертая - и снова прилетела пятая. Опять прилетел шестой - и тоже прилетела шестая. Наконец прилетела седьмая - и еще прилетела восьмая. Тут прилетела девятая - и тут прилетела десятая. Тут прилетела двадцать третья - и прилетела тридцать четвертая. Тут прилетает сорок пятая - прилетела сорок шестая, прилетела сто шестая - прилетала сто семнадцатая, прилетала двести девятнадцатая - прилетало триста девятнадцатое, прилетало пятьсот пятнадцатое. Потом прилетела тысяча девятьсот девяносто третья - прилетали триста девятые, прилетали пятьсот
Жучку  Бабка  пошел дед репку рвать  посадил дед репку  позвала жучка кошку  позвала внучка жучку  позвала бабка внучку  позвала кошка мышку  позвал дед бабку  вытянули репку  выросла репка сладка|Посадил дед репку и говорит: - Расти, расти, репка, сладка! Расти, расти, репка, крепка! Выросла репка сладка, крепка, большая-пребольшая. Пошел дед репку рвать: тянет-потянет, вытянуть не может. Позвал дед бабку. Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала бабка внучку. Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала внучка Жучку. Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала Жучка кошку. Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала кошка мышку. Мышка за кошку, Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут - и вытянули репку.|Жили-были старик со старухой. У них было три сына: Иван, Егор и Васька. Пришел к ним в гости дед репка. - Здравствуй, бабушка! - говорит дед репке. - Как поживаешь? - Хорошо, дедушка! - отвечает репка; - А как у тебя поживает внучка? Дед репке сказал: - Живу я хорошо, внучка! А внучка ему:  Дед, а ты куда идешь?  - Да вот, бабушка, в лес за грибами. Бабка с внучкой зашли в лес и стали грибы собирать. Дед репке сказочку рассказал, а внучка его спрашивает:  Ну, дед, где грибов набрали?  Дед ответил:  В лесу, бабушка . Бабка опять спросила:  Где же они набрали грибов? Дед сказал:  Под кустом, бабушка , внучка сказала:  На кустике, дедушка . Дед репе сказочку пересказал. Бабка еще дальше пошла. Пришла она в лес, стала грибы собирать, а дед ей:  Бабушка, бабушка !  Бабка ему сказочку рассказала, а он ей:   Бабушка, бабуля !  Она ему:   Дедушка, дедулька !  Дед репу сказочку переплела, да домой понесла. На другой день дед репки сказочку допытывает:  Что это ты, внученька, выдумываешь?  Бабкина внучка ответила:  Я, дедушка, деда репку не выдумываю, а сказку рассказываю. Стали они жить-поживать да добра наживать. Внучка вышла замуж за дедушку репку. Поехали они с дедом репкой в город, а репка с невесткой поехали в город. Пошли они по улице, а навстречу им баба с возом. Баба с возу кричит:  Стойте, стойте, люди добрые! Куда вы едете?  Люди отвечают:  За грибами, бабушка  . Бедняги остановились и спрашивают:  Чего тебе надобно?  Баба с воза отвечает:  Хочу посмотреть, кто из вас больше всех грибов набрал. Люди говорят:  Нет, бабушка,- отвечают бабы, - нам этого не надо. Мы сами все съедим. И стали они есть, пить, веселиться. Выросли репки сладка, крепка, налились соками. Увидел их
щукой  Лев  пошел лев человека искать  щука увидала человека  найдешь человека нигде  шел лев  спрашивает лев  реке лев  говорит лев  нашел человека  лев отошел  батюшка лев  человека увидела  видел человека  лев  разинь пасть пошире|Раз на реке лев со щукой разговаривал, а человек стоял поодаль и слушал. Только щука увидала человека, сейчас же ушла в воду. Лев ее после спрашивает: - Чего ты ушла в воду? - Человека увидела. - Ну так что же? - Да он хитрый. - Что за человек? - спрашивает лев. - Подай мне его, я его съем. Пошел лев человека искать. Идет навстречу мальчик. - Ты человек? - Нет, я еще не человек. Я мальчик. Еще когда буду человеком-то! Лев его не тронул, прошел мимо. Идет навстречу старик. - Ты человек? - Нет, батюшка лев! Какой я теперь человек! Был когда-то человеком. И этого лев не тронул. - Что за диковина! Не найдешь человека нигде! Шел, шел лев, встретил солдата с ружьем и с саблей. - Ты человек? - Человек. - Ну, я тебя съем! - А ты погоди, - говорит ему солдат. - Отойди от меня, я сам тебе в пасть кинусь. Разинь пасть пошире! Лев отошел, разинул пасть. Солдат наметился да как бабахнет из ружья! Потом подбежал да саблей ухо у льва отсек. Лев - бежать. Прибегает к реке. Выплывает щука, спрашивает: - Ну что, видел человека? - Да что, - говорит лев, - хитёр человек! Сразу-то я его не нашел: то говорит, что был человеком, то говорит, что еще будет человеком, а как нашел человека - так я и не обрадовался. Он мне велел отойти да раскрыть пасть, потом как плюнет мне в пасть, и сейчас еще жжет, а потом как высунет язык, да ухо мне и слизнул! - То-то же, я тебе говорила, что хитёр человек.|В некотором царстве жил-был старик со старухой. У них было три сына: Иван, Матвей и Василий. Жили они дружно, добра наживать не умели. Однажды приходит к ним в гости царь с царицею. - Здравствуй, бабушка! - говорит он. - Как поживаешь? - Слава богу, хорошо, - отвечает старуха. - А как у тебя дела? Иван рассказал ей все, как было. Царица спрашивает: - Ну, как поживает твой сын? А он ей сказочку про щуку рассказал. На другой день пришла к ним царевна с царицей. Увидала она человека нигде не бывала, да и знать не знала, где его искать. Пришла к нему в гости, а он ей сказки сказочки рассказывает. Стали они жить-поживать да добра наживать. Пошел Лев человека искать. Приходит к реке лев. Видит человека и спрашивает:  Что ты тут делаешь?  - Да вот, бабушка, - говорит ему лев, - ищу человека, который бы меня выручил из беды. Подумала она, подумала и говорит:  Спасибо тебе, добрый человек, за то, что выручил меня из беды!  И пошла к речке лев. Увидала она мужика, который ее выручил, и говорит ему:  Здорово, мужик! Дай мне свою щуку . Мужик дал ей щуку, а сам пошел дальше. Долго ли, коротко ли шли, пришли к реке лесистые берега. Видит - стоит избушка, а в избушке сидит баба с ребятишками. Батюшка лев подошел к избушке, поздоровался с ними и говорит им:  Добро пожаловать, дети мои! Вот я вас всех выручу . Дети обрадовались и спрашивают:  Где же мы теперь будем жить?  Отвечает им баба:  На том свете, где нас никто не обидит . Вышли они из избушки, сели на крылечко и стали жить. Жили-поживали, добра наживали. Вот однажды пришел к ним царь с царевною. Идут они лесом, а навстречу им заяц. Спрашивает их царь:  Чего вы тут делаете?  Дети ему отвечают:  Мы здесь для того, чтобы люди друг друга выручали . - Хорошо, - сказал царь, - пойдемте ко мне в гости . Взял он у них зайца, посадил на
Баба  Старуха  топора солдат кашицу сварит  солдат сварил кашицу  б малую толику круп подсыпать  похлебали вдвоем кашицу  тотчас припрятал топор  станем кашицу  солдат взял  пришел солдат  отвечал солдат  вари кашицу|Пришел солдат с походу на квартиру и говорит хозяйке: - Здравствуй, божья старушка! Дай-ка мне чего-нибудь поесть. А старуха в ответ: - Вот там на гвоздике повесь! - Аль ты совсем глуха, что не чуешь? - Где хошь, там и заночуешь! - Ах ты старая ведьма! Я те глухоту-то вылечу! - И полез было с кулаками. - Подавай на стол! - Да нечего, родимый! - Вари кашицу! - Да не из чего, родимый! - Давай топор, я из топора сварю!  Что за диво! - думает баба. - Дай посмотрю, как из топора солдат кашицу сварит!  Принесла ему топор; солдат взял, положил его в горшок, налил воды и давай варить. Варил-варил, попробовал и говорит: - Всем бы кашица взяла, только б малую толику круп подсыпать! Баба принесла ему круп. Опять варил-варил, попробовал и говорит: - Совсем бы готово, только б маслом сдобрить! Баба принесла ему масла. Солдат сварил кашицу: - Ну, старуха, теперь подавай хлеба да соли да принимайся за ложку: станем кашицу есть! Похлебали вдвоем кашицу. Старуха спрашивает: - Служивый! Когда ж топор будем есть? - Да, вишь, он не уварился, - отвечал солдат, - где-нибудь на дороге доварю да позавтракаю! Тотчас припрятал топор в ранец, распростился с хозяйкою и пошел в иную деревню. Вот так-то солдат и кашицы поел и топор унес!|Жили-были старик со старухой. У старика было три сына, у старухи - три дочери. Старшую дочь звали Машей, а младшую - Катей. Пришли они в избу, сели на лавку и стали есть кашу. - Ну, братцы, - говорит им старуха, - давайте-ка по-старому! - Давай, бабушка! - отвечают ей солдаты. Старуха взяла лопату и пошла к барину. Барин спрашивает: - Ты, Маша, умеешь ли печь топить? - Нет, барину не умею, - отвечает Маша. - А ты, Иван, умеешь? Барон рассердился:  Что ты, что ты! Я тебя научу!  А Маша ему:  Не учи меня, дурачок!  - и ушла с барином. Стали кашицу варить. Похлебали втроем кашицу и легли спать. На другой день опять пришли солдаты и доложили барину о своих похлебках. Барин велел подать еще кашицы. Солдаты взяли ложки, вилки, ложки, ложки да ложки, положили все это на стол и начали есть. Долго ли, коротко ли - пришел солдат и доложил барину, что кашица приготовлена. Барину доложили, что каша приготовлена, и он приказал подать еще хлеба. В ту же минуту припрятала топор за пазуху и подала солдату. Тот взял ложку, вилку, ложку да ложек, положил все это в рот и стал есть. Пришел солдат и сказал:  Спасибо тебе, добрый молодец!  И дал ему свою долю. После того попросился домой ночевать. Поутру встал, умылся, оделся и пошел на работу. Сидит на крылечке и думает:  Как бы мне поскорее добраться до барина!  Взял топор, сел на крылечко и поехал. Едет, едет, а навстречу ему попадается мужик и спрашивает:  Здорово, служивый! Куда путь держишь?  - Да вот, батюшка, - отвечал солдат, - я здесь живу. Мужик рассказал про свое приключение. Вот попадается ему попавшийся крестьянин. Поздоровался с ним и говорит:  Здравствуй, служба! Давно ли, давно ли мы с тобой знакомы?  - спрашивает. - Где ж ты был, где пропадал?  Отвечает солдат:  Был я тут у барина, да так и пропал.
Раю  Барин  Михаилуархангелу  Михаилаархангела  пятаков  солдат махнул своей волшебной сумочкой  взял солдат котомку  солдат развязал мешок  отслужил солдат службу королю  говорит солдат  пришел солдат домой  солдат взял  пошел солдат назад|Прошло срочное время, отслужил солдат службу королю и стал проситься на родину с родными повидаться. Сначала было король не пускал его, но потом согласился, наделил его златом-серебром и отпустил его на все четыре стороны. Вот получил солдат отставку и пошел с товарищами прощаться, а товарищи и говорят ему: - Неужели на простинах не поднесешь, а прежде ведь мы хорошо жили? Вот солдат и начал подносить своим товарищам; подносил-подносил - глядь, а денег-то осталось у него только пять пятаков. Вот идет наш солдат. Близко ли, далеко ли, видит: стоит в сторонке кабачок; зашел солдат в кабачок, на копейку выпил, на грош закусил и пошел далее. Прошел немного, встретилась ему старуха и стала милостыню просить; солдат и подал ей пятак. Прошел опять немного, смотрит, а та же старуха опять идет навстречу и просит милостыню; солдат подал другой пятак, а сам дивуется: как это старуха опять очутилась впереди? Смотрит, а старуха опять впереди и просит милостыню; солдат и третий пятак подал. Прошел опять с версту. Смотрит, а старуха опять впереди и просит милостыню. Разозлился солдат, не стерпело ретивое, выдернул тесак да и хотел было раскроить ей голову, и только лишь замахнулся, старуха бросила к его ногам котомку и скрылась. Взял солдат котомку, посмотрел-посмотрел да и говорит: - Куда мне с этой дрянью? У меня и своей довольно! И хотел было уж бросить - вдруг, откуда ни возьмись, явились перед ним, как из земли, два молодца и говорят ему: - Что вам угодно? Солдат удивился и ничего не мог им сказать, а потом закричал: - Что вам от меня надобно? Один из них подошел поближе к служивому и говорит: - Мы служители твои покорные, но слушаемся не тебя, а вот этой волшебной сумочки, и если тебе что нужно, приказывай. Солдат думал, что все это ему грезится, протер глаза, решился попробовать да и говорит: - Если ты говоришь правшу, то я приказываю тебе, чтобы сейчас же была койка, стол, закуска и трубка с табаком! Не успел солдат еще и кончить, а уж все и явилось, как будто с|В некотором царстве, в некотором государстве жил-был царь. У него было три сына и две дочери. Старшая дочь была красавица, а младшая - умница. Пришел солдат к царю и говорит: - Здравствуй, батюшка! - Здорово, служивый! Как поживаешь? - Живу хорошо, батюшка. - Ну, коли так, ступай с богом. Пошел солдат на пашню и спрашивает у барина:  Что ты там делаешь?  - Служивый, - отвечает барин, - я здесь живу. А солдат махнул своей волшебной сумочкой и пошел дальше. На другой день приходит солдат и спрашивает:  Чего ты там делал?  А барину сказал:  Я здесь живу . - Спасибо, - говорит солдат, - за службу. Взял солдат котелок, налил в него воды, поставил на огонь и стал варить кашу. Приходит солдат к барину:  Батюшка, сваришь ли кашу?  - спрашивает он. - Дай посмотрю, как она будет пахнуть. Баран дал ему ложку каши, а сам сел на печку и начал есть. Солдат завязал мешок веревкой, положил его на печь и стал ждать, когда закипит вода. Вдруг откуда ни возьмись из-за печки выскочил солдат и закричал:  Барин, вари кашу!  - и подал ему котелок с кашей. Барин поблагодарил барина и говорит солдату:  Вот это да каша!  Отправился солдат домой и рассказал все барину. Стали они жить-поживать да добра наживать. В один прекрасный летний день приезжает к ним в гости генерал. Генерал спрашивает солдата:  Ты куда едешь?  Солдат ответил:  На войну, ваше превосходительство!  Генерал рассердился:  Ах ты, негодяй этакий! Не знаешь, что такое война!  И приказал солдатам разойтись по домам. Разъехались солдаты и стали жить себе да добра наживать. Долго ли, коротко ли, приехал к ним генерал и спрашивает их:  Вы куда едете?  Солдаты отвечают:  Да на войну, ваша светлость!  Генералу доложили про то, что вы тут живете, и послали за вами. Поехал солдат в город, остановился у одного богатого купеческого дома. Увидал купеческий дом, подошел к крыльцу и крикнул своим слугам:  Гости дорогие!
царевич  Иванцаревич  Рассказал Иванцаревич  Вихорь  Димитрийцаревич  царевича  Василийцаревич  Иванацаревича  царевичу  Собрался Иванцаревич  говорит братьям иван  царица  пар башмаков  вы|Жил-был царь. Дал ему Бог трех сыновей. Старший - Димитрий-царевич, второй - Василий-царевич, а самый младший - Иван-царевич. Раз вышли царь с царицей в сад погулять. Нежданно-негаданно поднялся вихрь и унес царицу у мужа на глазах. Горе его обуяло. Как беде помочь? Вернулся царь во дворец, созвал сыновей и говорит им: - Дети мои милые! Послал нам Господь беду. Гулял я сейчас с царицей по саду; вдруг, откуда ни возьмись, вихрь поднялся, подхватил ее и унес неведомо куда. Нет у меня больше жены, а у вас матери. Надо вам собраться в путь-дорогу: может, еще и вызволим ее. Живо собрались старшие сыновья, взяли с собой слуг и поехали. Ждут их дома месяц, ждут и два. Ни слуху, ни духу: без вести оба царевича пропали. Еще пуще затосковал царь:  Не видать мне больше ни жены, ни детей! Видно, нет уж их на белом свете, что не шлют отцу весточки!  Вот приходит к царю самый младший сын, Иван-царевич, и говорит: - Пришел я, батюшка, проститься с тобой. Поеду в дальний путь: искать матушку с братьями. Испугался царь. Один сын остался, и тот его покинуть хочет. - Нет, - говорит, - Иван-царевич, не отпущу я тебя. Ты у меня младший сын. Твоя мать и братья старшие без вести пропали, и ты не вернешься. Нет, останься хоть ты мне на утешение! Не послушал отца Иван-царевич, взял с собой только четверых слуг и поехал мать с братьями отыскивать. Ехал, ехал Иван-царевич и приехал на поле; посреди поля шатер стоит, а в шатре братья сидят. Подъехал к ним Иван-царевич и говорит: - Что ж это вы, братцы мои родные! Разве так надо матушку искать? Стыдно стало старшим царевичам: тут же слугу отправили царя утешить, сказать, что Иван-царевич братьев нашел, и поехали все вместе мать искать. Долго ли, коротко ли ехали братья через чужие земли и приехали к высокой горе, а гора-то вся из золота - как жар горит. Говорит братьям Иван-царевич: - Ну, вы, братцы, здесь оставайтесь, а|Жили-были старик со старухой. У старика была жена, у старухи - три сына. Старшему Ивану было всего три года, а младшему Василию - три года. Пришли они в лес за грибами. - Здравствуй, дедушка! - говорит Ивануцаревич. - Как поживаешь? - Спасибо, батюшка! - отвечает старик. - А ты куда идешь? Старик рассказал ему про то, что случилось с Иваномцаревичем. Дедушка спрашивает: - Ну, как тебе живется? А Ивануцевич рассказывает: Вот идут они по лесу. Вдруг откуда ни возьмись, из-за куста выскакивает вихорь и давай их душить. Братья испугались, закричали на них, стали бить да приговаривать: Царевич, Иванцыревич! Не бойся, мы тебя не тронем! Побежали братья к избушке, сели на печку и стали жить-поживать да добра наживать. На другой день пришли братья к Ивануцевичу. Он им рассказал все, как было. Братья обрадовались, стали просить Иванацарева отпустить их домой. Только он сказал об этом братьям, они его и отпустили. Прошло еще немного времени, приходит к ним Василийцаревич и просит их остаться ночевать. Братья согласились. Поутру рано встали братья и пошли в лес. Пришли в избушку, легли на печке и стали спать. День прошел, другой, третий, четвертый. Проснулись братья от того, что кто-то стучится в дверь. Увидали братья Иванацушко и спрашивают: Чего тебе надобно? Отвечают им: Да вот, братцы, пришла к нам беда. Как вы сюда попали? Они рассказали обо всем Ивануцу. Братцы говорят: Ну, теперь я вас всех отпущу. Вечером братья опять собрались и отправились в путь-дорогу. Поутру встали братья, позавтракали, поужинали и легли спать. На другой день братья снова собрались и поехали в дорогу. Шли-шли, шли, наконец, приехали в деревню. Вот вошли в избу, а там стоит избушка. Бросили свои пожитки и улеглись спать. Проснулись братья, глядь - стоят две избушки. Одна избушка стоит на том самом месте, где стояла избушка Ивана Царевича, а другая - на том же месте, на котором стоял Иван Царевич. Братья посмотрели
Петр Великий  Коли  какие такие загадки царь загадал  солдат берется загадки отгадать  де царь сосчитать звезды  крепко велика земная глубина  земная глубина крепко велика  спрашивает царь  велел царь  мои загадки отгадал  царь усмехнулся  царь похвалил  царь посме|Жили в одном монастыре триста монахов да игумен. Монастырь был богатый, доходов много. И живут монахи припеваючи. Пьют, едят сладко, спят долго, а работы нет никакой. Прослышал про беззаботное монастырское житье царь Петр Великий и задумался:  Как так? Весь наш народ и сам я все в трудах да в заботах, отдохнуть некогда. Ни днем, ни ночью покоя нет, а тут триста человек живут, как сыр в масле катаются. Пьют, едят сладко, спят долго. Ни заботы, ни работы не знают. Совсем ожирели на легких хлебах . И послал царь в тот монастырь гонца: - Поезжай, скажи игумну: приказал-де царь сосчитать звезды на небе и узнать, глубока ли земля, да пусть тот игумен узнает, о чем я думаю, что у меня, у царя, на уме. Сроку дай три дня. На четвертый день пусть сам игумен с ответом ко мне придет. Коли не исполнит приказания, всех монахов и самого игумна велю на работу отправить, а монастырь закрыть. Получил игумен беззаботного монастыря царский приказ и затужил, запечалился: - Ох, беда пришла неминучая! И рассказал монахам все как есть. Монахи головы повесили. Думали, думали, ничего придумать не могли. А в ту пору зашел в монастырь отставной солдат и спрашивает: - Чего, старцы, горюете? Жили всегда без нужды, без печали, а теперь головы повесили. Монахи ему отвечают: - Ох, солдат, не знаешь нашего горя великого! Велел царь три загадки отгадать и через три дня игумну с ответом во дворец прийти. - Какие такие загадки царь загадал? - спрашивает солдат. - Надо сосчитать, сколько есть звезд не небе, узнать, глубока ли земля, и сказать, что у царя на уме, о чем он думает. Выслушал солдат и говорит: - Знал бы я, как царю ответ держать, как был бы на вашем месте. Монахи побежали к игумну: - Вот солдат берется загадки отгадать и царю ответ дать. Просит игумен солдата: - Бери, служивый, чего хочешь, только пособи нашему горю, научи, как царю отвечать! А солдат и говорит: - Ничего мне не надо. Давай твою одежу, я вместо|В некотором царстве жил-был солдат. У него было три сына: Иван-царевич, Иван-дурак и Иван-дурачок. Старший сын - Иван-Царевич - был храбрый воин, а средний - Ивану-царевичу - нет. Царь посмеялся над ними и приказал выдать их замуж за своего старшего брата Ивана-царевну. Иван-Царю очень хотелось жениться на прекрасной царевне, но он не знал, как это сделать. На другой день после того, как старшие братья собрались в путь-дорогу, царь спрашивает у своих старших братьев: - Что вы думаете по этому поводу? - Ваше величество, - отвечают братья, - я думаю, что все будет хорошо. - Хорошо, - отвечает царь, - так и будет. С тех пор прошло много времени. Пришло время ехать в поход. Долго ли, коротко ли, приехали братья к царю. Увидал их царь и говорит им:  Добро пожаловать, мои верные слуги! Я вижу, что вы молоды, богаты и знатны . - Здравствуй, ваше величество! - отвечали ему верные слуги. - Мы рады тебя видеть. Как ты сюда попал? А царь посмеялся и сказал:  Спасибо тебе, добрый молодец, за то, что ты нам рассказал о своих загадках. Теперь мы с тобой увидимся. Поутру рано встали братья и поехали в дорогу. Ехали они долго, ехали и пришли к тому месту, где была земля. Ехали долго, приехали к той самой земле, где стояла земля, и стали спрашивать:  Где же она лежит?  - А вот здесь, - отвечал им царь, указывая на землю, - лежит земля, на которой стоит наша земля. Братья согласились и поехали дальше. Воротились домой и говорят своим братьям:  Ну, братцы, теперь мы с вами увидимся . И стали жить-поживать да добра наживать. Много ли, мало ли времени прошло, приходит к ним царь и спрашивает:  Куда ты едешь?  Братья отвечают:  На ту землю, которая лежит на нашей земле. Поехали они туда, где земля лежит, и остановились ночевать. Всю ночь они спали крепким сном, а утром встали и пошли искать свою землю. Пришли в лес, сели на поваленное дерево и стали ждать. Вдруг откуда ни возьмись, прилетели два голубя и спрашивают:  Кто ты таков?
