context|refs|hyps
Баба  Тараканиха  Лопай  Опустил Змей  Выведи  Змея  Змею  Коли  Змей Таракана  Молчи  место славный богатырь таракан  сильномогучий богатырь таракан  таракан жалобно назад проситься  пусть богаты|Жил-был мужик по прозванью Таракан: такие у него усы тараканьи были, длинные-предлинные да тонкие. А сила в нем была великая: если мимо воробей пролетит - он с ног валится. Тоже и храбрости был Таракан несказанной: ночью из избы никогда не выходил один, а чтоб его жена провожала. Надоело это Таракановой жене. И била она своего Таракана без милосердия и срамила всячески: ничего с таким ледащим не поделаешь. Пользы от него по хозяйству и на медный грош нет, а об нем хлопочи: ночью вставай, на улицу его провожай. Раз была ночь темная-претемная - зги не видать - да ветреная, холодная. И в самый сладкий сон вдруг будит Таракан жену:  Выведи, - говорит, - меня наружу, хочу на ветерке прохладиться; а то в избе очень жарко . Встала жена, оделась-обулась; со сна-то такая злость ее разбирает, что так бы вот и пришибла привередника: стой из-за него на крыльце. А он по двору прохаживает, на небо поглядывает да лясы точит:  Эка ночь-то! Эка тьма-то кромешная! Вот бы теперь на большой дороге под мостом сидеть Да у проезжих купцов кошели обирать!   Иди уж в избу скорей, храбрый богатырь, - говорит жена, - ложись-ка на печь да хоть блох обирай!  Как закричит на нее Таракан:  Что за бунт? Молчи, баба, не смей мне перечить! Возьму сейчас и пойду свою удаль показывать, а не то, вот назло тебе, буду до утра по двору ходить, чтоб ты на крыльце стояла да мерзла!  Так это бабу взорвало, что ухватила она Таракана за шиворот, вволокла в избу, накинула на него рваный зипунишко, сунула ему в руку ржавый ломаный косарь и вытолкала в шею:  Ступай же, - кричит, - покажи: какой ты храбрый богатырь, а без того я тебя и через порог не пущу!  Стал было Таракан жалобно назад проситься - только того и добился, что баба из избы выскочила, вывела его за шиворот из деревни в поле да там одного середь темной ночи и бросила. Вечером выбрался Таракан|Жили-были старик со старухою. У них было три сына: один умный, а другой глупый. Стали они жить-поживать да добра наживать. Однажды приходит к ним добрый молодец и говорит: - Здравствуй, добрые молодцы! Как поживаешь? - Хорошо, - отвечают старики. - Ну, хорошо, - сказал добрый молодец, - я пойду с тобой в путь-дорогу. Пришли они к богатырю Тараканихе. Он им рассказал о том, как жили-были дед с бабкой. Долго ли, коротко ли, пришли они к своему богатырю. А у того богатыря был сын Иван-царевич. Стал он просить у него денег взаймы. Богатырь согласился. На другой день пришел к нему добрый молодец. Он ему рассказал про то, как жил-был дедушка с бабкою. У них было трое сыновей: два умных, а третий дурак. Пошел он к Ивану-царевичу. Тот ему рассказал, как жила-была баба с тремя сыновьями. Идет он к своим богатырям. Вдруг раздается стук в дверь.  Кто там?  - спрашивает богатырь.  А ты кто такой?  - Я тот, кто стучится ко мне во дворец. Иван-Царевич отворил дверь и впустил богатырей. Они сели на коней и поехали по дороге. Побежали они через поле, а навстречу им бежит заяц. Вытащил заяц из-за пазухи золотой ключик и давай его теребить. Забрался заяц в повозку и поехал дальше. Подъезжает к городу. Воротился домой и стал просить у Ивана-Царя денег за зайца. Отвечает ему добрый молодец:  Не бойся, не обманешь!  - и дал ему золотую ключик. Волшебный богатырь тут как тут. Взял свой ключик, сел на коня и поехал прямо в город. Вот приехали они к царю. Говорит ему царь:  Эй, царевич, куда путь держишь?  Отвечает ему богатырь:  В лес, где живут злые люди. Сказал ему царица:  Ступай туда, где живет злой человек. Послушался царевич и пошел в лес. Ехал он долго, много ли, мало ли, повстречал злых людей. Разговорились
Жучку  Бабка  пошел дед репку рвать  посадил дед репку  позвала жучка кошку  позвала внучка жучку  позвала бабка внучку  позвала кошка мышку  позвал дед бабку  вытянули репку  выросла репка сладка|Посадил дед репку и говорит: - Расти, расти, репка, сладка! Расти, расти, репка, крепка! Выросла репка сладка, крепка, большая-пребольшая. Пошел дед репку рвать: тянет-потянет, вытянуть не может. Позвал дед бабку. Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала бабка внучку. Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала внучка Жучку. Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала Жучка кошку. Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут, вытянуть не могут. Позвала кошка мышку. Мышка за кошку, Кошка за Жучку, Жучка за внучку, Внучка за бабку, Бабка за дедку, Дедка за репку - Тянут-потянут - и вытянули репку.|Жили-были старик со старухою, а у них было три сына. Старший сын - Жучка - был умный и ловкий, а средний - Бабка - ленивый и скупой. Пошли они в лес за дикими зверями. Сели на полати и стали ждать. Дождались, дождались, пришли к деду репке: - Дедушка, дедушка! - Что ты, Жучок? - Да вот, бабушка, пришла. - А где же она? Жучок говорит:  Где ж она?  А дед ему:  Куда ж она денется!  Вытянул репку сладка, да как закричит:  Бабушка, бабушка!..  Пожалел старика, посадил его на полатях и повез домой. На другой день пришел дед с репкой. Сказал он внучке:  Здравствуй, внученька.  - Здравствуй, дедушка, внучка! Принесла ей пирожок с капустой, поставила на стол и спрашивает:  Чем тебя угостить?  Отвечает:  Сладким пирогом . - Ну, хорошо, - говорит внучка, - я пойду к дедушке. И пошла. Подходит к дому, стучится:  Кто там?  И отвечает:  Я, Жучка. Увидела дедушку, бросилась к нему:  Как поживаешь?  Говорит:  Живу себе, живу, не тужу, ничего не боюсь. Старик взял ее за руку и сказал:  Пойдем ко мне. Вышли они из дому, сели на коней и поехали по дороге. Вдруг откуда ни возьмись выскочил заяц и закричал:  Эй, вы, зайцы, куда путь держите?  Обрадовалась внучка:  Ой, добрый молодец!  - и побежала дальше. Заяц кричит:  Стойте, стойте, добрые молодцы!  Остановилась и стала просить:  Не прогоните ли меня от дороги?  Сказала:  Нет, нет, не прогоню!  Услыхала, что кто-то идет, обернулась и закричала:  Ах, какой храбрый заяц!  Подбежала к нему, схватила за шиворот и давай душить. Обрадовался заяц:  Ох, какая храбрая собака!  Принесла ему целую охапку хвороста и сказала:  Вот
щукой  Лев  пошел лев человека искать  щука увидала человека  найдешь человека нигде  шел лев  спрашивает лев  реке лев  говорит лев  нашел человека  лев отошел  батюшка лев  человека увидела  видел человека  лев  разинь пасть пошире|Раз на реке лев со щукой разговаривал, а человек стоял поодаль и слушал. Только щука увидала человека, сейчас же ушла в воду. Лев ее после спрашивает: - Чего ты ушла в воду? - Человека увидела. - Ну так что же? - Да он хитрый. - Что за человек? - спрашивает лев. - Подай мне его, я его съем. Пошел лев человека искать. Идет навстречу мальчик. - Ты человек? - Нет, я еще не человек. Я мальчик. Еще когда буду человеком-то! Лев его не тронул, прошел мимо. Идет навстречу старик. - Ты человек? - Нет, батюшка лев! Какой я теперь человек! Был когда-то человеком. И этого лев не тронул. - Что за диковина! Не найдешь человека нигде! Шел, шел лев, встретил солдата с ружьем и с саблей. - Ты человек? - Человек. - Ну, я тебя съем! - А ты погоди, - говорит ему солдат. - Отойди от меня, я сам тебе в пасть кинусь. Разинь пасть пошире! Лев отошел, разинул пасть. Солдат наметился да как бабахнет из ружья! Потом подбежал да саблей ухо у льва отсек. Лев - бежать. Прибегает к реке. Выплывает щука, спрашивает: - Ну что, видел человека? - Да что, - говорит лев, - хитёр человек! Сразу-то я его не нашел: то говорит, что был человеком, то говорит, что еще будет человеком, а как нашел человека - так я и не обрадовался. Он мне велел отойти да раскрыть пасть, потом как плюнет мне в пасть, и сейчас еще жжет, а потом как высунет язык, да ухо мне и слизнул! - То-то же, я тебе говорила, что хитёр человек.|Жили-были старик со старухою. У них было три сына и две дочери. Пришла к ним старуха: - Здравствуй, дети мои! Как поживаешь? - Хорошо, бабушка! - Ну, а как у тебя дела? Стали они друг друга расспрашивать. - Да вот, бабушка, - говорит Лев, - я нашел человека нигде не видал. А старуха его спрашивает:  Где ты его нашел?  - А вон там, в воде, - отвечает Лев. И пошел лев человека разыскивать. Долго ли, коротко ли, пришли они к реке. Поднялись на берег, сели на коней и поехали домой. Пошли дальше. Нашел человек нигде не видавшего человека. Сказал ему Лев:  Куда ты его ведешь?  И сказал:  В воду, в реку, в речку, в лес, в поле, в болото, в овраг, в канаву, в колодец, в пруд, в ручей, в озеро, в рощу, в луга, в рощи, в леса, в болота, в реки, в озера, в ручьи, в пруды, в речки, в озерца, в сады, в парки, в огороды, в хлевы, в конюшни, в амбары, в зернохранилища, в хлебные лачуги, в винные погреба, в мясные лавки, в пивные бары, в виноторговцы, в рыболовы, в охотники, в солдаты, в купцы, в мастера, в ремесленники, в землевладельцы, в крестьяне, в дворяне, в чиновники, в генералы, в адмиралы, в министры, в сенаторы, в судьи, в советники, во воеводы, в писаря, в приказчики, в дознаватели, в присяжные поверенные, в жандармы, в полицию, в судовые палаты, в суды, в войска, в города, в села, в деревни, в монастыри, в церкви, в дома, в бани, в сани, в коляски, в хомуты, в сапоги, в тапочки, в башмаки, в шапки, в платки, в рубахи, в сарафаны, в лапти, в валенки, в шубу, в шапку, в платок, в сапожки, в шаровары, в бриджи, в кашне, в пальто, в чулки,
Баба  Старуха  топора солдат кашицу сварит  солдат сварил кашицу  б малую толику круп подсыпать  похлебали вдвоем кашицу  тотчас припрятал топор  станем кашицу  солдат взял  пришел солдат  отвечал солдат  вари кашицу|Пришел солдат с походу на квартиру и говорит хозяйке: - Здравствуй, божья старушка! Дай-ка мне чего-нибудь поесть. А старуха в ответ: - Вот там на гвоздике повесь! - Аль ты совсем глуха, что не чуешь? - Где хошь, там и заночуешь! - Ах ты старая ведьма! Я те глухоту-то вылечу! - И полез было с кулаками. - Подавай на стол! - Да нечего, родимый! - Вари кашицу! - Да не из чего, родимый! - Давай топор, я из топора сварю!  Что за диво! - думает баба. - Дай посмотрю, как из топора солдат кашицу сварит!  Принесла ему топор; солдат взял, положил его в горшок, налил воды и давай варить. Варил-варил, попробовал и говорит: - Всем бы кашица взяла, только б малую толику круп подсыпать! Баба принесла ему круп. Опять варил-варил, попробовал и говорит: - Совсем бы готово, только б маслом сдобрить! Баба принесла ему масла. Солдат сварил кашицу: - Ну, старуха, теперь подавай хлеба да соли да принимайся за ложку: станем кашицу есть! Похлебали вдвоем кашицу. Старуха спрашивает: - Служивый! Когда ж топор будем есть? - Да, вишь, он не уварился, - отвечал солдат, - где-нибудь на дороге доварю да позавтракаю! Тотчас припрятал топор в ранец, распростился с хозяйкою и пошел в иную деревню. Вот так-то солдат и кашицы поел и топор унес!|Жили-были старик со старухой. У них было три сына и две дочери. Пришел солдат в деревню. - Батюшки, - говорит, - что это у тебя за кашаца? - Да вот, батюшка, - отвечает солдат, - я кашуцу сварил, а ты кашуцу варишь. Сел на коня и поехал домой. Долго ли, коротко ли, приехали они к деревне. Солдат спрашивает: - Куда путь держишь? А тот ему отвечает:  Я не знаю, куда ехать, да и знать не хочу!  - Ну, коли так, ступай с богом! Пошли они по дороге. Вдруг навстречу им попадается крестьянин. У того крестьянина был сын, а у солдата - дочь. Взглянули они друг на друга и стали спрашивать: кто из них отец? Тот им ответил:  Это я, сынок!  Солдат взял его за руку и вывел из деревни. И пошли они дальше. На другой день пришли они к той деревне, где жили солдаты. Подходит к ним попавшийся крестьянин и спрашивает:  Что вы здесь делаете?  Они ему отвечают:  А мы тут живем!  Вот он и рассказал им все, как было. В ту же ночь попался им попавшийся солдат. Отвечает ему солдат:  Ступай с богом, а я пойду с тобой. Попался ему попавшийся солдатик и говорит:  Не бойся, сынок, я тебе ничего не сделаю!  Пришел солдат домой и стал просить:  Поди-ка, братцы, поиграй со мной. Выбрал он себе мальчика и пошел с ним играть. Разговорились они с солдатом о том, что случилось. Посидели они с ним до утра и легли спать. Утром прибежал солдат и спрашивает их:  Где вы были?  Они ему ответили:  Мы тут жили!  Тут он и сказал:  Пойдемте со мной!  И пошел с ними. Только сели они на коней, как попадается им навстречу попавшийся крестьянский сын. Захотелось солдату поиграть со своим сыном. Стал он его спрашивать:  Кто ты такой?  Он ему отвечает :  Я - солдат!  А ты кто таков?  А он ему:  Меня зовут Иван-царевич!  Схватил его за бороду и потащил к отцу. Вот они вошли в
Раю  Барин  Михаилуархангелу  Михаилаархангела  пятаков  солдат махнул своей волшебной сумочкой  взял солдат котомку  солдат развязал мешок  отслужил солдат службу королю  говорит солдат  пришел солдат домой  солдат взял  пошел солдат назад|Прошло срочное время, отслужил солдат службу королю и стал проситься на родину с родными повидаться. Сначала было король не пускал его, но потом согласился, наделил его златом-серебром и отпустил его на все четыре стороны. Вот получил солдат отставку и пошел с товарищами прощаться, а товарищи и говорят ему: - Неужели на простинах не поднесешь, а прежде ведь мы хорошо жили? Вот солдат и начал подносить своим товарищам; подносил-подносил - глядь, а денег-то осталось у него только пять пятаков. Вот идет наш солдат. Близко ли, далеко ли, видит: стоит в сторонке кабачок; зашел солдат в кабачок, на копейку выпил, на грош закусил и пошел далее. Прошел немного, встретилась ему старуха и стала милостыню просить; солдат и подал ей пятак. Прошел опять немного, смотрит, а та же старуха опять идет навстречу и просит милостыню; солдат подал другой пятак, а сам дивуется: как это старуха опять очутилась впереди? Смотрит, а старуха опять впереди и просит милостыню; солдат и третий пятак подал. Прошел опять с версту. Смотрит, а старуха опять впереди и просит милостыню. Разозлился солдат, не стерпело ретивое, выдернул тесак да и хотел было раскроить ей голову, и только лишь замахнулся, старуха бросила к его ногам котомку и скрылась. Взял солдат котомку, посмотрел-посмотрел да и говорит: - Куда мне с этой дрянью? У меня и своей довольно! И хотел было уж бросить - вдруг, откуда ни возьмись, явились перед ним, как из земли, два молодца и говорят ему: - Что вам угодно? Солдат удивился и ничего не мог им сказать, а потом закричал: - Что вам от меня надобно? Один из них подошел поближе к служивому и говорит: - Мы служители твои покорные, но слушаемся не тебя, а вот этой волшебной сумочки, и если тебе что нужно, приказывай. Солдат думал, что все это ему грезится, протер глаза, решился попробовать да и говорит: - Если ты говоришь правшу, то я приказываю тебе, чтобы сейчас же была койка, стол, закуска и трубка с табаком! Не успел солдат еще и кончить, а уж все и явилось, как будто с|Жили-были старик со старухою, и у них было три сына. Пришел солдат к отцу и говорит: - Батюшка, отец! - Что, сынок, служишь? - Служил, батюшка, служил. - Ну, служи, сынки! Солдат завязал мешок с деньгами и пошел домой. На другой день приходит солдат домой и спрашивает:  - Батюшки, отцы! Служил ли ты когда-нибудь в королевстве? Отец ему отвечает:  Нет, не служил, а был солдатом на службе короля. Стали они жить-поживать да добра наживать. Пошел солдат дальше и попал в королевский дворец. Пришел он туда, сел на коня и поехал. Долго ли, коротко ли ехали, приехали к королевскому дворцу и стали там жить. Стал солдат служить королю и стал его спрашивать:  Где же я служил?  - В королевском дворце, - отвечает солдат. Взял солдат котел с водой и пошел к королю. Вышли они из котла, сели на коней и поехали дальше. Вдруг откуда ни возьмись налетел злой вихорь и ударил солдата по голове. Тот упал и ударился о землю. Откуда ни возьмися налетел добрый молодец и схватил солдата за бороду. Идет солдат домой, а навстречу ему разбойник. Захотелось ему узнать, кто такой разбойник и где он живет. Побежал солдат к разбойнику и рассказал ему все, как было. Рассердился разбойник на солдата и приказал его казнить. А солдат так и остался без головы. Прошло много времени, пришел царь и приказал казнить разбойника. Выслушал солдат рассказ разбойника и велел казнить его до тех пор, пока тот не умрет. Умер разбойник, а солдат остался жив и невредим. За то король наградил его золотой цепью и дал ему хлеба и воды. Вот солдаты пошли дальше и пришли к королевским воротам. Ворота отворились и вошли в замок. Посреди замка стоял большой стол, на котором были разложены кушанья и напитки. Разбойник подошел к столу и начал их есть. Говорит разбойник своему слуге:  Ступай-ка лучше к королю и скажи ему, что я принес тебе поесть. Он тебя накормит и напоит. А ты ступай-ка ко мне и скажи, что мы принесли тебе
царевич  Иванцаревич  Рассказал Иванцаревич  Вихорь  Димитрийцаревич  царевича  Василийцаревич  Иванацаревича  царевичу  Собрался Иванцаревич  говорит братьям иван  царица  пар башмаков  вы|Жил-был царь. Дал ему Бог трех сыновей. Старший - Димитрий-царевич, второй - Василий-царевич, а самый младший - Иван-царевич. Раз вышли царь с царицей в сад погулять. Нежданно-негаданно поднялся вихрь и унес царицу у мужа на глазах. Горе его обуяло. Как беде помочь? Вернулся царь во дворец, созвал сыновей и говорит им: - Дети мои милые! Послал нам Господь беду. Гулял я сейчас с царицей по саду; вдруг, откуда ни возьмись, вихрь поднялся, подхватил ее и унес неведомо куда. Нет у меня больше жены, а у вас матери. Надо вам собраться в путь-дорогу: может, еще и вызволим ее. Живо собрались старшие сыновья, взяли с собой слуг и поехали. Ждут их дома месяц, ждут и два. Ни слуху, ни духу: без вести оба царевича пропали. Еще пуще затосковал царь:  Не видать мне больше ни жены, ни детей! Видно, нет уж их на белом свете, что не шлют отцу весточки!  Вот приходит к царю самый младший сын, Иван-царевич, и говорит: - Пришел я, батюшка, проститься с тобой. Поеду в дальний путь: искать матушку с братьями. Испугался царь. Один сын остался, и тот его покинуть хочет. - Нет, - говорит, - Иван-царевич, не отпущу я тебя. Ты у меня младший сын. Твоя мать и братья старшие без вести пропали, и ты не вернешься. Нет, останься хоть ты мне на утешение! Не послушал отца Иван-царевич, взял с собой только четверых слуг и поехал мать с братьями отыскивать. Ехал, ехал Иван-царевич и приехал на поле; посреди поля шатер стоит, а в шатре братья сидят. Подъехал к ним Иван-царевич и говорит: - Что ж это вы, братцы мои родные! Разве так надо матушку искать? Стыдно стало старшим царевичам: тут же слугу отправили царя утешить, сказать, что Иван-царевич братьев нашел, и поехали все вместе мать искать. Долго ли, коротко ли ехали братья через чужие земли и приехали к высокой горе, а гора-то вся из золота - как жар горит. Говорит братьям Иван-царевич: - Ну, вы, братцы, здесь оставайтесь, а|Жили-были царь с царицей. У царя была дочь, а у царицы - сын. Пришли братья к царю и спрашивают: - Кто из нас царь? - Я царь! - А кто твой отец? Царевич говорит:   - Мой отец - Иван-царевич. - Что ж ты не хочешь быть царем? А царевич отвечает:  - Я хочу быть Иваном-царевичем. Выслушали братья и стали спрашивать: 'Что же ты не захотел быть царским сыном?' - Да я хотел бы быть царем. Послушались братья и пошли к отцу. Тот спрашивает: `Кто ты такой? Откуда ты взялся? Где твои родители? Отвечает царевич:  'Я родился в царстве, а вырос в деревне. Отец меня научил, что надо делать, чтобы стать царем. Он научил меня, что нужно делать для того, чтобы сделать так, чтобы все люди были счастливы. Он научил меня тому, как надо жить, чтобы каждый человек был доволен своим царством. И он научил меня всему, чему я научился. Отец научил меня всем премудростям, которые я знаю, и дал мне много денег, чтобы я мог купить себе хорошую одежду и хорошее платье. Когда я стал царем, то женился на дочери моего отца. Она была красавица, умная и красивая, и мы жили вместе с ней весело и счастливо. Но однажды случилось несчастье. В один прекрасный день мой отец умер, и я остался без матери. На другой день я пошел к своему отцу и рассказал ему о том, что случилось со мной. Тогда он сказал мне: &mdash; Не бойся, сынок, я тебя не трону. Ты будешь моим слугой, а я буду служить тебе верой и правдой до тех пор, пока ты будешь счастлив. Вот я и стал слугою твоего отца. Пошел я к нему и рассказал все, что было со мной за это время. У него было три сына и две дочери. Все они были хорошие, умные и красивые. Они любили друг друга и заботились друг о друге. Однажды я пришел к отцу и сказал ему: -- Здравствуй, отец! Как ты поживаешь? Отец посмотрел на меня и сказал: ― Ну, слава Богу, что ты жив! После этого он отпустил меня домой. Через некоторое время я опять пришел к моему отцу и попросил его рассказать обо всем, что приключилось со мною.
Петр Великий  Коли  какие такие загадки царь загадал  солдат берется загадки отгадать  де царь сосчитать звезды  крепко велика земная глубина  земная глубина крепко велика  спрашивает царь  велел царь  мои загадки отгадал  царь усмехнулся  царь похвалил  царь посме|Жили в одном монастыре триста монахов да игумен. Монастырь был богатый, доходов много. И живут монахи припеваючи. Пьют, едят сладко, спят долго, а работы нет никакой. Прослышал про беззаботное монастырское житье царь Петр Великий и задумался:  Как так? Весь наш народ и сам я все в трудах да в заботах, отдохнуть некогда. Ни днем, ни ночью покоя нет, а тут триста человек живут, как сыр в масле катаются. Пьют, едят сладко, спят долго. Ни заботы, ни работы не знают. Совсем ожирели на легких хлебах . И послал царь в тот монастырь гонца: - Поезжай, скажи игумну: приказал-де царь сосчитать звезды на небе и узнать, глубока ли земля, да пусть тот игумен узнает, о чем я думаю, что у меня, у царя, на уме. Сроку дай три дня. На четвертый день пусть сам игумен с ответом ко мне придет. Коли не исполнит приказания, всех монахов и самого игумна велю на работу отправить, а монастырь закрыть. Получил игумен беззаботного монастыря царский приказ и затужил, запечалился: - Ох, беда пришла неминучая! И рассказал монахам все как есть. Монахи головы повесили. Думали, думали, ничего придумать не могли. А в ту пору зашел в монастырь отставной солдат и спрашивает: - Чего, старцы, горюете? Жили всегда без нужды, без печали, а теперь головы повесили. Монахи ему отвечают: - Ох, солдат, не знаешь нашего горя великого! Велел царь три загадки отгадать и через три дня игумну с ответом во дворец прийти. - Какие такие загадки царь загадал? - спрашивает солдат. - Надо сосчитать, сколько есть звезд не небе, узнать, глубока ли земля, и сказать, что у царя на уме, о чем он думает. Выслушал солдат и говорит: - Знал бы я, как царю ответ держать, как был бы на вашем месте. Монахи побежали к игумну: - Вот солдат берется загадки отгадать и царю ответ дать. Просит игумен солдата: - Бери, служивый, чего хочешь, только пособи нашему горю, научи, как царю отвечать! А солдат и говорит: - Ничего мне не надо. Давай твою одежу, я вместо|Жили-были старик со старухой. У них было три сына и две дочери. Старший сын был Иван, а младшая дочь - Софья. Стали они жить-поживать да добра наживать. Однажды приходит к ним царь и спрашивает: - Что ты загадал? - Я загадал царю загадку. - Какую загадку он загадывал? Иван отвечает: Я загадал ему загадку о том, что будет в мире после того, как я умру. Царь рассмеялся и сказал: Будьте вы прокляты, если не разгадаете мою загадку! И приказал царь наградить Ивана за то, что он угадал загадку царя. На другой день пришел к нему царь и говорит: Дай-ка я загадаю тебе загадку, которая мне больше всего понравилась. Иван ответил: А какую загадку ты загадываешь? Тогда царь спросил его: Какую загадку загадал ты загадку? Он отвечал: Такую, какую загадал я загадку: В некотором царстве, в некотором государстве жил-был царь; у него было три дочери и три сына. У одного царя была дочь по имени Софья, а у другого сына по имени Петр. Вот однажды приходит к царю и просит: Погадай-ка мне загадку про то, как будет мир после смерти моего отца. Пришел царь и стал спрашивать: Что такое мир после моей смерти? Отвечает царь: Моего отца звали Петр Великий, а моего брата - Петр Великий. Пошли они к отцу и говорят: Петр Великий умер, а мы с братом живы-здоровы. Тут царь рассердился и велел выдать их замуж за Петра Великого. Выгнал их из царства и дал им хлеба и серебра. Задумался царь и думает:  Как же быть с моими загадками?  Стал он загадывать свои загадки. Говорит царевич: Давай-ка загадаю свою загадку . И загадал царь загадку до тех пор, пока она не раскрылась. Сказал царевич царевне: Не бойся, царевна, я тебя не трону. Она ответила: Нет, не тронет меня царь, потому что я загадала загадку еще до того дня, когда мой отец умрет. Ехали они долго, ехали и пришли к тому месту, где царь
Ваську да Ваньку  те деньги куплю свинушку  детки станут пашню пахать  громко крикнул мужик  бедный мужик шел  денежки дом заведу  амбар мяса накоплю  мясо продам  кустом зайца  шибко людей  чистому полю  четыре ал|Бедный мужик шел по чистому полю, увидал под кустом зайца, обрадовался и говорит: - Вот когда заживу домком-то! Возьму этого зайца, убью плетью да продам за четыре алтына. На те деньги куплю свинушку. Она принесет мне двенадцать поросеночков. Поросятки вырастут, принесут еще по двенадцати. Я всех приколю, амбар мяса накоплю. Мясо продам, а на денежки дом заведу да сам женюсь. Жена-то родит мне двух сыновей: Ваську да Ваньку. Детки станут пашню пахать, а я буду под окном сидеть да порядки наводить:  Эй вы, ребятки, - крикну, - Васька да Ванька! Шибко людей на работе не подгоняйте, видно, сами бедно не живали!  Да так-то громко крикнул мужик, что заяц испугался и убежал, а дом со всем богатством, с женой и с детьми пропал.|Жили-были старик со старухою, и у них было три сына. Один был умный, а другой - дурачок. Случилось им жить-поживать в одном селе. У одного была дочь, у другого - дочка, а у третьего - сын. Пришел раз мужичок к отцу и говорит: - Батюшка, дай мне денег. Отец дал ему денег, а сам пошел на базар продавать мясо. Пошел он домой, а навстречу ему попадается баба. - Здравствуй, сынок! - Здорово, бабушка! А она ему:   Здравствуй, добрый человек! Как поживаешь? - Хорошо, хорошо, батюшка! Попадался ему попаданчик. Вот они и стали вместе торговать мясом. Долго ли, коротко ли, пришли они к отцу с матерью. У того самого попаданчика были две дочери. Одна была умная, а другая - дурачка. Бедный мужик идет по дороге, видит - стоит избушка. Подошел к избушке, постучал в дверь. В избушке кто-то живет. Мужичок отворил дверь, вошел в избушку. Баба его спрашивает: 'Кто ты таков?' - А я - Васька да Ванька, - отвечает мужик. Он взял деньги и пошел дальше. Нашел избушку, постучался в двери. Никто не отвечает. Мужичок опять стучится. Опять никто не отзывается. Тогда он стучится снова. И опять никто не откликается. Снова стучится опять. Наконец один из попаданчиков пришел к отцу. Говорит:  'Кто ты такой? Что ты здесь делаешь?' И рассказал ему все, как было дело. Тотчас же прибежал к отцу, рассказал все, что было. Выслушал отец и велел выдать за него замуж свою дочь. Жили они долго-долго. Вдруг приходит беда. Один богатый мужик шел по дороге. Видит - лежит избушка, а в избушке никого нет. Взял он деньги, отдал их богатому мужику и пошел домой. Стал он искать себе другую жену. Не нашел ни одной. Зашел в деревню, сел на коня и поехал в город. Ехал, ехал, приехал в город, остановился у богатого мужика. Разговорились они с ним о том, что случилось. Рассказал про то бедному муж
